location,Field_Date,Satellite_Date,Days Gaps,Satellite,Sensor,Scene_Cloud_Pct,Buffer_m,Water_Mask,valid_pixels,Target Variable(Chlorophyll-a),mean_SR_B2,mean_SR_B3,mean_SR_B4,mean_SR_B5,mean_SR_B6,mean_SR_B7,med_SR_B2,med_SR_B3,med_SR_B4,med_SR_B5,med_SR_B6,med_SR_B7,sd_SR_B2,sd_SR_B3,sd_SR_B4,sd_SR_B5,sd_SR_B6,sd_SR_B7,mean_ST_B10_K,med_ST_B10_K,mean_NDCI_L8,med_NDCI_L8,mean_MNDWI,med_MNDWI
1,04/23/2025,04/27/2025,-4,LANDSAT_8,Landsat_8_9,0.12,30,QA_PIXEL_AND_MNDWI_gt_0,3,2.585933,0.0194837897077509,0.0505094853875476,0.0317342884371029,0.0162624809402795,0.0115758799237611,0.00873534307496822,0.0191474999999999,0.0504974999999999,0.0314949999999999,0.0162599999999999,0.0114749999999999,0.00869749999999999,0.00100949932584862,0.000882955107704812,0.000757124494386452,0.000770109119252305,0.000322531221572208,0.000318335514826727,289.347180240787,289.33022912,-0.322858426043012,-0.327160813117467,0.627302234340243,0.629674452378071
2,04/23/2025,04/27/2025,-4,LANDSAT_8,Landsat_8_9,0.12,30,QA_PIXEL_AND_MNDWI_gt_0,2,2.464921,0.0157781186224489,0.0495265465561224,0.0300139285714285,0.013213287627551,0.00957585140306122,0.00690786033163264,0.0157924999999999,0.0497275,0.0299274999999999,0.0131524999999999,0.009495,0.00688249999999998,0.000756249999999999,0.00042624999999989,0.000137500000000084,0.000123750000000045,0.000192500000000014,0.000192499999999996,289.773228926428,289.75235459,-0.388715540587107,-0.385468987267843,0.676113975631305,0.675153865609982
3,04/23/2025,04/27/2025,-4,LANDSAT_8,Landsat_8_9,0.12,30,QA_PIXEL_AND_MNDWI_gt_0,3,2.85821,0.0219268333333333,0.0525420125786163,0.0338561257861635,0.0169087232704402,0.0131475188679245,0.0103842704402515,0.0218424999999999,0.0521475,0.033585,0.0163149999999999,0.01274,0.0102374999999999,0.00111238170407263,0.00103294952549606,0.00122579962564117,0.00111690482534946,0.00104652666261092,0.000779220586369621,289.967988658037,289.97281688,-0.334694575098946,-0.346092184368737,0.600225703123972,0.607320362165286
4,04/23/2025,04/27/2025,-4,LANDSAT_8,Landsat_8_9,0.12,30,QA_PIXEL_AND_MNDWI_gt_0,3,2.646439,0.0234729114321608,0.0509432694723618,0.0320880810301507,0.0146094472361809,0.00953531721105527,0.00729586369346733,0.0230937499999999,0.0505937499999999,0.0316049999999999,0.0141975,0.00930249999999999,0.00701999999999999,0.000987195100609111,0.000771417346332022,0.000909673323537322,0.000753230081419719,0.000779112743232114,0.000509224628452139,289.857742108668,289.8566042,-0.375014557351132,-0.376311020811597,0.685284422997904,0.68930822861437
5,04/23/2025,04/27/2025,-4,LANDSAT_8,Landsat_8_9,0.12,30,QA_PIXEL_AND_MNDWI_gt_0,3,2.25315,0.0193966360759493,0.0556900569620253,0.0317563196202531,0.0129882658227847,0.0098397246835443,0.00770871835443037,0.0193125,0.0558325,0.0319075,0.0130424999999999,0.00977,0.0078725,0.000973653628806926,0.000822040989786007,0.0011393985986768,0.000855108017868061,0.000479654099904875,0.000415847528147824,290.464094519189,290.45817572,-0.420180058055033,-0.419688542825362,0.699881634318432,0.702145497503906
6,04/23/2025,04/27/2025,-4,LANDSAT_8,Landsat_8_9,0.12,30,QA_PIXEL_AND_MNDWI_gt_0,3,2.827957,0.0194278811944091,0.0491646759847522,0.0305861721728081,0.0145334053367217,0.0105852858958068,0.00795286848792884,0.0198349999999999,0.0495899999999999,0.0305324999999999,0.0146374999999999,0.0104025,0.00778999999999999,0.000744364941857565,0.000754456205930161,0.000417259578147148,0.000716174249436242,0.00046089285329914,0.000314618375531734,289.939492270775,289.93180064,-0.356937278381498,-0.351892849236218,0.646232367989307,0.653206650831353
7,04/23/2025,04/27/2025,-4,LANDSAT_8,Landsat_8_9,0.12,30,QA_PIXEL_AND_MNDWI_gt_0,3,4.764149,0.0254702805800756,0.0539037200504413,0.0373954665825977,0.0208083543505674,0.014624842370744,0.0114858543505674,0.0262425,0.054705,0.0379849999999999,0.02132,0.015215,0.0115849999999999,0.00127334205930691,0.000908564190846996,0.000994150251331382,0.00122085409538654,0.00114938449712104,0.000869916183702018,289.67330695092,289.67886716,-0.285556941874826,-0.286980987296444,0.573825780557406,0.56478832951945
8,04/23/2025,04/27/2025,-4,LANDSAT_8,Landsat_8_9,0.12,30,QA_PIXEL_AND_MNDWI_gt_0,3,3.342258,0.0257234027777777,0.0487866666666666,0.0335571180555555,0.0172680555555555,0.00977642361111111,0.00650302083333333,0.02462,0.0473625,0.0323199999999999,0.0160124999999999,0.00889,0.00556249999999999,0.00243312413484301,0.00302174825225393,0.00305097183970396,0.0030899145978849,0.00270824974229974,0.002473879375933,289.599195357954,289.6002527,-0.325126597348384,-0.337402369006362,0.671848851454103,0.683925158881827
9,04/23/2025,04/27/2025,-4,LANDSAT_8,Landsat_8_9,0.12,30,QA_PIXEL_AND_MNDWI_gt_0,2,5.550727,0.0138233185279187,0.0423514974619289,0.0266807201776649,0.0114510945431472,0.00874698604060913,0.00693781408629441,0.0140875,0.0426324999999999,0.02715,0.0121624999999999,0.00891749999999999,0.00704749999999998,0.000247499999999981,0.000151250000000049,0.000467500000000018,0.000673749999999994,0.000178749999999979,0.000096250000000007,289.932286449949,289.96598084,-0.401688467926338,-0.381240063593005,0.658151886396522,0.655705079605762
10,04/23/2025,04/27/2025,-4,LANDSAT_8,Landsat_8_9,0.12,30,QA_PIXEL_AND_MNDWI_gt_0,3,7.244895,0.0194075835475578,0.0442350642673521,0.0304245501285347,0.016061208226221,0.00971196015424164,0.00666391388174806,0.0199175,0.0443375,0.0302574999999999,0.0165349999999999,0.009935,0.00682749999999998,0.00114630990089453,0.000195746434620162,0.000382591673836303,0.000161915615882718,0.000577863642124079,0.000404373658335404,290.709786804087,290.69743712,-0.309371265067701,-0.304102430101907,0.640723858032386,0.633884564005711
11,04/23/2025,04/27/2025,-4,LANDSAT_8,Landsat_8_9,0.12,30,QA_PIXEL_AND_MNDWI_gt_0,2,11.782845,0.0341934725765306,0.0589374043367346,0.0482035299744897,0.0342105197704081,0.0260826913265306,0.0206751179846938,0.0335574999999999,0.0581975,0.0475825,0.0333924999999999,0.0254999999999999,0.0201925,0.00112749999999995,0.00142999999999998,0.00118249999999994,0.00137499999999997,0.00103125,0.000838749999999958,291.043729630969,291.073419319999,-0.170057641134882,-0.175239271380055,0.386697213770834,0.389459192529853
1,05/15/2025,05/05/2025,10,LANDSAT_9,Landsat_8_9,42.5,30,QA_PIXEL_AND_MNDWI_gt_0,3,1.587584,0.0289524555273189,0.0731218583227446,0.0439275158831003,0.0243251175349428,0.0194423125794155,0.0155228113087674,0.0294049999999999,0.07401,0.0441449999999999,0.0244,0.0197525,0.0159574999999999,0.00216376055103657,0.00138892394400201,0.00110366057584152,0.000922241381996455,0.000774895154198301,0.000764414263777611,293.986249883659,293.9924084,-0.287796907296374,-0.288058939382886,0.580308363122359,0.578669510731902
2,05/15/2025,05/05/2025,10,LANDSAT_9,Landsat_8_9,42.5,30,QA_PIXEL_AND_MNDWI_gt_0,2,2.737198,0.0202358896683673,0.0669361862244898,0.0372057748724489,0.0180921173469387,0.0174386415816326,0.0150751498724489,0.0199999999999999,0.0671625,0.0371324999999999,0.0182674999999999,0.0174425,0.0151324999999999,0.00041249999999999,0.000165000000000206,0.000178749999999903,0.000055000000000014,0.000247499999999981,0.000288750000000032,293.79486951454,293.78220017,-0.345890503889815,-0.342104085559583,0.586762557237902,0.583824222431668
3,05/15/2025,05/05/2025,10,LANDSAT_9,Landsat_8_9,42.5,30,QA_PIXEL_AND_MNDWI_gt_0,3,2.404415,0.0468911949685534,0.0903022798742138,0.0618520251572327,0.0399185440251572,0.0385286698113207,0.0336281006289308,0.048545,0.09183,0.0638075,0.0418625,0.0404049999999999,0.0350425,0.00453899049593876,0.00468008383709325,0.00495948011948393,0.00512191139994523,0.00432408291497234,0.00353403236009833,293.605264967396,293.59591808,-0.217333907010234,-0.207674836755938,0.403323433899664,0.392423533813487
4,05/15/2025,05/05/2025,10,LANDSAT_9,Landsat_8_9,42.5,30,QA_PIXEL_AND_MNDWI_gt_0,3,2.495174,0.0230277983668341,0.0636593247487437,0.035223391959799,0.0152845445979899,0.0168197424623115,0.0157487280150753,0.0223374999999999,0.0630925,0.0344649999999999,0.01459625,0.01604,0.01516,0.000943409890886376,0.000988045910989118,0.000937244039132239,0.00123072528300276,0.000817942031360826,0.000577863642124064,293.090587869371,293.07296102,-0.397520165372439,-0.402915948327133,0.582915345511208,0.594744820616473
6,05/15/2025,05/05/2025,10,LANDSAT_9,Landsat_8_9,42.5,30,QA_PIXEL_AND_MNDWI_gt_0,3,2.585933,0.0134748475222363,0.0517562452350699,0.0224145489199491,0.00105512071156289,0.00267503494282083,0.00344615311308767,0.0144175,0.05201,0.0232175,0.0017675,0.002895,0.00339,0.00126864812125172,0.000572898333039908,0.00121277459662636,0.000979332964601708,0.00041158231254514,0.000180096424790223,293.793277247522,293.81808938,-0.85668211902281,-0.858515109065438,0.902499138649985,0.894545123394954
7,05/15/2025,05/05/2025,10,LANDSAT_9,Landsat_8_9,42.5,30,QA_PIXEL_AND_MNDWI_gt_0,3,2.85821,0.0073845397225725,0.04261460592686,0.018300791298865,0.00214240857503152,0.00444124211853719,0.00472831021437578,0.00817499999999998,0.0426874999999999,0.0189824999999999,0.00217999999999998,0.00341749999999999,0.00418749999999998,0.00133260761499984,0.00153129982912114,0.00131086538422356,0.00162138615251135,0.00305537527245927,0.00222782062164398,293.740492136544,293.746310959999,-0.802831306446413,-0.793975191966923,0.817904192641342,0.851751436937425
8,05/15/2025,05/05/2025,10,LANDSAT_9,Landsat_8_9,42.5,30,QA_PIXEL_AND_MNDWI_gt_0,3,1.95062,0.0212314930555555,0.0460654513888889,0.0248618055555555,0.0103809027777777,0.00584347222222221,0.00532138888888888,0.0211,0.0459874999999999,0.024785,0.0105125,0.00589249999999999,0.00539749999999999,0.00134290884525594,0.000270688422770948,0.000149503808944425,0.000568628955373266,0.000305677753343103,0.000123665094329658,293.329731141136,293.336148559999,-0.41151352235024,-0.40527544020932,0.774985447374485,0.77077558959397
9,05/15/2025,05/05/2025,10,LANDSAT_9,Landsat_8_9,42.5,30,QA_PIXEL_AND_MNDWI_gt_0,2,3.856559,0.028588654822335,0.0503322557106599,0.0295009708121827,0.0126513229695431,0.00512654822335025,0.00356627220812182,0.0283049999999999,0.0502225,0.0295425,0.0126024999999999,0.0049025,0.00352749999999998,0.000275000000000169,0.000192499999998676,0.000220000000000056,0.000109999999999904,0,0.0000412499999999695,293.383571418705,293.407926979999,-0.399834888077121,-0.401945663779808,0.815306611809971,0.821060315722237
10,05/15/2025,05/05/2025,10,LANDSAT_9,Landsat_8_9,42.5,30,QA_PIXEL_AND_MNDWI_gt_0,3,5.248197,0.0153290649100257,0.0411119055269922,0.0244239652956298,0.0155110668380462,0.0108711664524421,0.00838107326478148,0.0136475,0.0405699999999999,0.0238224999999999,0.01516,0.0108425,0.00822999999999998,0.0013124029064616,0.000925061559513126,0.000654374170911103,0.000570841240821139,0.000360892027558879,0.000433652126325541,293.898426030025,293.90353988,-0.224958694405529,-0.240804378261422,0.581991832554615,0.584641573671269
11,05/15/2025,05/05/2025,10,LANDSAT_9,Landsat_8_9,42.5,30,QA_PIXEL_AND_MNDWI_gt_0,2,9.665135,0.0275245822704081,0.0467290178571428,0.0327092091836734,0.026848306760204,0.0183898820153061,0.0138307397959183,0.0240424999999999,0.0436499999999999,0.0287175,0.0194499999999999,0.01813,0.0112825,0.0040425,0.00438625000000004,0.00500499999999998,0.0087175,0.00332749999999999,0.00365749999999999,294.605284672372,294.63841418,-0.131978453531525,-0.192401515544714,0.455085632175984,0.402439024390243
1,06/16/2025,06/22/2025,-6,LANDSAT_9,Landsat_8_9,10.47,30,QA_PIXEL_AND_MNDWI_gt_0,3,7.275148,0.0209812293519695,0.0695897681067344,0.0401866772554002,0.0373424015247776,0.0301035419313849,0.0240686372299872,0.0214574999999999,0.0690875,0.03958,0.0365,0.0296249999999999,0.0244824999999999,0.00199437681717594,0.00137028636504288,0.00152271550198974,0.00134090506333929,0.000793962460629483,0.000929320988679378,301.410858161118,301.4095118,-0.0366597553016588,-0.0389890584065339,0.396125032650803,0.393691319808641
2,06/16/2025,06/22/2025,-6,LANDSAT_9,Landsat_8_9,10.47,30,QA_PIXEL_AND_MNDWI_gt_0,2,5.520474,0.0196977455357142,0.0638379464285714,0.0348430548469387,0.0298177455357142,0.0220363329081632,0.0176561511479591,0.0192574999999999,0.0639175,0.0349875,0.0297349999999999,0.0218424999999999,0.0174425,0.00125124999999999,0.000302500000000099,0.000247500000000309,0.000371249999999953,0.00041249999999999,0.000357499999999959,301.216467785229,301.20101258,-0.0777170784800976,-0.0766384569966541,0.486827521514332,0.492079179141354
3,06/16/2025,06/22/2025,-6,LANDSAT_9,Landsat_8_9,10.47,30,QA_PIXEL_AND_MNDWI_gt_0,3,7.577678,0.0239703427672956,0.0705608081761006,0.0397763742138364,0.0324303805031446,0.0265771006289308,0.0219042452830188,0.02429,0.06961,0.03914,0.0322375,0.0259675,0.021155,0.00358537383762916,0.00219621549489123,0.00241321966813362,0.00238604653256289,0.0011762658665833,0.0010379808122825,300.831642851396,300.83870246,-0.102060130252448,-0.0980194357577591,0.453229990987896,0.456440274624579
4,06/16/2025,06/22/2025,-6,LANDSAT_9,Landsat_8_9,10.47,30,QA_PIXEL_AND_MNDWI_gt_0,3,4.703643,0.0108116834170854,0.0580125314070351,0.0310419064070351,0.025894915201005,0.0240560772613065,0.020964745603015,0.0108699999999999,0.0577024999999999,0.03133,0.0259675,0.02429,0.0212374999999999,0.000852943433059886,0.0000342985260397729,0.000553806273789787,0.000480179364635999,0.000952980704013579,0.000789504943338231,300.398112811608,300.3841058,-0.0904506156199416,-0.0907942808172842,0.413979910575422,0.407109077040427
5,06/16/2025,06/22/2025,-6,LANDSAT_9,Landsat_8_9,10.47,30,QA_PIXEL_AND_MNDWI_gt_0,3,6.851606,0.0276109556962025,0.0617783132911392,0.0411328101265822,0.0369922848101265,0.0261124493670886,0.0202594050632911,0.0277824999999999,0.0618549999999999,0.0408725,0.0366374999999999,0.0261875,0.0202749999999999,0.00218070356893262,0.00152337755223938,0.00134447222193522,0.00130849149787064,0.00086293346595594,0.000708981076381225,301.668242934177,301.61801102,-0.0530494480570844,-0.0522047338699989,0.405935119579312,0.405116846977312
6,06/16/2025,06/22/2025,-6,LANDSAT_9,Landsat_8_9,10.47,30,QA_PIXEL_AND_MNDWI_gt_0,3,8.969316,0.0190824714104193,0.0554374364675984,0.0291219282083862,0.022297420584498,0.0137123538754764,0.0107048252858958,0.0198899999999999,0.0546225,0.0284425,0.02198,0.0130149999999999,0.0102649999999999,0.00322051496917289,0.00314618375531723,0.00295650225021994,0.0030646841417818,0.00235777643601386,0.00194406825726075,301.854253965235,301.82992826,-0.136774635336326,-0.125783036690862,0.608458705978542,0.609920575453319
7,06/16/2025,06/22/2025,-6,LANDSAT_9,Landsat_8_9,10.47,30,QA_PIXEL_AND_MNDWI_gt_0,3,8.757545,0.0224673013871374,0.049415948928121,0.0290469451450189,0.0238262799495586,0.0122740258511979,0.00894510403530895,0.0233549999999999,0.0502225,0.0296249999999999,0.0244,0.0128224999999999,0.00944,0.00018287442564672,0.000517896386033351,0.000916024775259254,0.000819789098894767,0.000820813451535873,0.000740970647191912,300.904567231273,300.88997276,-0.0997115276922174,-0.0967144840351685,0.604394725096221,0.593227060036482
8,06/16/2025,06/22/2025,-6,LANDSAT_9,Landsat_8_9,10.47,30,QA_PIXEL_AND_MNDWI_gt_0,3,7.69869,0.0344585069444444,0.0596720138888888,0.0411224305555555,0.0378551736111111,0.0237232291666666,0.0177780208333333,0.034025,0.059985,0.0417249999999999,0.0377649999999999,0.0242624999999999,0.018405,0.00137138970472367,0.00236076817771008,0.00259826090341634,0.00253878607255952,0.00258873548067175,0.00211414416621846,301.48558863909,301.43001992,-0.0419364409742535,-0.0457977559805235,0.433998347091887,0.433995276003849
9,06/16/2025,06/22/2025,-6,LANDSAT_9,Landsat_8_9,10.47,30,QA_PIXEL_AND_MNDWI_gt_0,2,7.940714,0.0273274936548223,0.0583130837563451,0.0403691941624365,0.0396480171319797,0.0295821446700507,0.0242185628172588,0.0257199999999999,0.0572075,0.0391674999999999,0.0387825,0.0287175,0.02451,0.00258499999999998,0.00141625000000004,0.00166374999999996,0.00093499999999992,0.000550000000000042,0.000563750000000027,300.937838052766,301.02327554,-0.00876837783037861,-0.00493906350224498,0.326790380546104,0.331568228105906
10,06/16/2025,06/22/2025,-6,LANDSAT_9,Landsat_8_9,10.47,30,QA_PIXEL_AND_MNDWI_gt_0,3,6.912112,0.0291121143958868,0.0590430719794344,0.0425568573264781,0.0429762853470436,0.0303174839331619,0.0232273971722365,0.0286349999999999,0.0586924999999999,0.04211,0.0428524999999999,0.030175,0.0230249999999999,0.000722714789295717,0.000181490740504892,0.000214194226502167,0.000467949130663534,0.000538887743412303,0.000532456310153352,301.270550395629,301.2386108,0.00491754008817788,0.00422689249504871,0.321469371061834,0.319635861446971
11,06/16/2025,06/22/2025,-6,LANDSAT_9,Landsat_8_9,10.47,30,QA_PIXEL_AND_MNDWI_gt_0,2,7.123883,0.0216233769132653,0.0438763488520408,0.0279957653061224,0.029340950255102,0.0140334470663265,0.00906720663265306,0.0225575,0.0439249999999999,0.02792,0.0287999999999999,0.0130974999999999,0.0084225,0.0016225,0.00199375,0.00195249999999997,0.00144374999999998,0.00169125,0.0014025,302.490390869489,302.475934039999,0.0240294884773063,0.0162028743182452,0.516636965706204,0.516215965059009
1,06/30/2025,06/22/2025,8,LANDSAT_9,Landsat_8_9,10.47,30,QA_PIXEL_AND_MNDWI_gt_0,3,10.845002,0.0209812293519695,0.0695897681067344,0.0401866772554002,0.0373424015247776,0.0301035419313849,0.0240686372299872,0.0214574999999999,0.0690875,0.03958,0.0365,0.0296249999999999,0.0244824999999999,0.00199437681717594,0.00137028636504288,0.00152271550198974,0.00134090506333929,0.000793962460629483,0.000929320988679378,301.410858161118,301.4095118,-0.0366597553016588,-0.0389890584065339,0.396125032650803,0.393691319808641
2,06/30/2025,06/22/2025,8,LANDSAT_9,Landsat_8_9,10.47,30,QA_PIXEL_AND_MNDWI_gt_0,2,8.545774,0.0196977455357142,0.0638379464285714,0.0348430548469387,0.0298177455357142,0.0220363329081632,0.0176561511479591,0.0192574999999999,0.0639175,0.0349875,0.0297349999999999,0.0218424999999999,0.0174425,0.00125124999999999,0.000302500000000099,0.000247500000000309,0.000371249999999953,0.00041249999999999,0.000357499999999959,301.216467785229,301.20101258,-0.0777170784800976,-0.0766384569966541,0.486827521514332,0.492079179141354
3,06/30/2025,06/22/2025,8,LANDSAT_9,Landsat_8_9,10.47,30,QA_PIXEL_AND_MNDWI_gt_0,3,9.241593,0.0239703427672956,0.0705608081761006,0.0397763742138364,0.0324303805031446,0.0265771006289308,0.0219042452830188,0.02429,0.06961,0.03914,0.0322375,0.0259675,0.021155,0.00358537383762916,0.00219621549489123,0.00241321966813362,0.00238604653256289,0.0011762658665833,0.0010379808122825,300.831642851396,300.83870246,-0.102060130252448,-0.0980194357577591,0.453229990987896,0.456440274624579
4,06/30/2025,06/22/2025,8,LANDSAT_9,Landsat_8_9,10.47,30,QA_PIXEL_AND_MNDWI_gt_0,3,10.391207,0.0108116834170854,0.0580125314070351,0.0310419064070351,0.025894915201005,0.0240560772613065,0.020964745603015,0.0108699999999999,0.0577024999999999,0.03133,0.0259675,0.02429,0.0212374999999999,0.000852943433059886,0.0000342985260397729,0.000553806273789787,0.000480179364635999,0.000952980704013579,0.000789504943338231,300.398112811608,300.3841058,-0.0904506156199416,-0.0907942808172842,0.413979910575422,0.407109077040427
